	Phocaeicola_vulgatus	Faecalibacterium_prausnitzii	Bacteroides_uniformis	Prevotella_copri_clade_A	Bacteroides_stercoris	Phocaeicola_dorei	Bacteroides_ovatus	Bacteroides_fragilis	Eubacterium_rectale	Alistipes_putredinis	Bacteroides_caccae	Parabacteroides_distasonis	Bacteroides_xylanisolvens	Roseburia_faecis	Bacteroides_thetaiotaomicron	Roseburia_intestinalis	Phocaeicola_massiliensis	Alistipes_onderdonkii	Parabacteroides_merdae	Akkermansia_muciniphila	Escherichia_coli	Bacteroides_eggerthii	Sutterella_wadsworthensis	Dialister_invisus	Bacteroides_faecis	Bacteroides_cellulosilyticus	Lachnospira_eligens	Faecalibacterium_SGB15346	Eubacterium_siraeum	Barnesiella_intestinihominis	Alistipes_finegoldii	Phascolarctobacterium_faecium	Prevotella_sp_885	Flavonifractor_plautii	Lachnospira_pectinoschiza	Veillonella_parvula	Enterocloster_bolteae	Dysosmobacter_welbionis	Candidatus_Cibionibacter_quicibialis	Firmicutes_bacterium_AF16_15	Ruminococcus_bicirculans	Clostridium_sp_AF34_10BH	Odoribacter_splanchnicus	Alistipes_shahii	Ruminococcus_bromii	Bacteroides_finegoldii	Anaerostipes_hadrus	Prevotella_copri_clade_B	Roseburia_inulinivorans	Prevotella_marseillensis	Bacteroides_caecigallinarum	Phocaeicola_coprocola	Fusicatenibacter_saccharivorans	Ruminococcus_gnavus	Dysosmobacter_sp_BX15	Faecalibacterium_SGB15315	Alistipes_SGB2313	Ruminococcus_torques	Waltera_intestinalis	Blautia_wexlerae	Phocaeicola_plebeius	Ruminococcus_sp_BSD2780120874_150323_B10	Oscillibacter_sp_ER4	Parasutterella_excrementihominis	Acidaminococcus_intestini	Veillonella_dispar	Klebsiella_pneumoniae	GGB3746_SGB5089	GGB1266_SGB1699	Dorea_longicatena	GGB1543_SGB2126	Coprococcus_eutactus	Paraprevotella_clara	Prevotella_copri_clade_E	GGB3278_SGB4328	Roseburia_hominis	Prevotella_copri_clade_C	GGB1680_SGB2312	Bacteroides_ilei	GGB3277_SGB4327	Clostridium_sp_AF36_4	Clostridium_fessum	Lacrimispora_amygdalina	Akkermansia_sp_KLE1798	Bifidobacterium_longum	Clostridiales_bacterium	Clostridiaceae_bacterium	Clostridium_sp_AM22_11AC	GGB9708_SGB15234	Bifidobacterium_adolescentis	Alistipes_dispar	Enterocloster_clostridioformis	Eisenbergiella_massiliensis	Eubacterium_ventriosum	Lachnospira_sp_NSJ_43	Prevotella_stercorea	GGB9342_SGB14306	Hungatella_hathewayi	GGB781_SGB1024	Blautia_obeum	Haemophilus_parainfluenzae	Blautia_faecis	Bilophila_wadsworthia	Clostridium_leptum	Parasutterella_SGB9260	Clostridium_symbiosum	Ruthenibacterium_lactatiformans	Clostridium_sp_AF20_17LB	GGB9713_SGB15249	GGB51647_SGB4348	Roseburia_sp_AF02_12	GGB1549_SGB2133	Clostridium_sp_AT4	GGB6601_SGB9333	GGB4237_SGB5728	Phocaeicola_sartorii	Proteus_mirabilis	Clostridium_sp_1001270H_150608_G6	Alistipes_communis	Dysgonomonas_mossii	GGB33469_SGB15236	Vescimonas_coprocola	Rikenellaceae_bacterium	Prevotella_SGB48271	Bacteroides_salyersiae	Ruminococcus_lactaris	GGB3304_SGB4367	Bacteroides_intestinalis	Phascolarctobacterium_succinatutens	Bacteroides_mediterraneensis	Collinsella_aerofaciens	GGB33512_SGB15201	GGB3175_SGB4191	Clostridium_sp_AM49_4BH	Lactobacillus_acidophilus	GGB16040_SGB9347	Collinsella_SGB14861	Veillonella_rogosae	Butyrivibrio_crossotus	GGB9453_SGB14844	Lacrimispora_celerecrescens	Coprococcus_comes	Tyzzerella_nexilis	Oscillospiraceae_bacterium	Clostridiaceae_bacterium_Marseille_Q4149	GGB3267_SGB4317	GGB9480_SGB14874	GGB3478_SGB14857	Gemmiger_formicilis	GGB58485_SGB80143	GGB28645_SGB41268
CSM7KOQ5_P	0.606333071	0.223858994	0.004223824	5.07067E-05	6.08914E-05	0.000135218	0.000194592	0	0.052351734	0.002075832	0.00070881	0.000362856	0.000658862	0.000187441	7.01009E-05	0.000144861	0	0	0.000386909	0	0.00011409	0	0.000185383	0.009399699	0	0.000309224	2.01527E-05	0	0	1.46269E-05	0	0.000223846	0	0.016103709	0.000644452	0.00184256	0.00095996	0.008885589	0	0	0.009254946	0.002425362	0.000138252	0	0	0	0.006394027	0	0.007321158	0	0	0	0.000355922	0.000183433	0	0	0.000715203	0	0	0.003401032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012214679	0	0	0	0	0	0	0.001226062	0	0.000465895	0	0	0.000441192	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000103689	0	0	0.020389291	0.000794947	8.3211E-05	0	0	0	0	0	0	0	0	2.65452E-05	0.001340369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000794622	0	0.000792021	0	0.000255375	0.00011734	0	0.000257434	0	0	0	0	0	0	0	0
CSM7KOQP_P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357108576	0	0	0	0	0	0.019291626	0	0	0	0	0	0	0	0.44529672	0.124450232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038902464	0	0	0	0	0	0.014689758	0	0	0	0	0	0.000260624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KOQX	0.276187747	0.106367787	0.095521143	0	0.085632646	0	0.00943104	0	0.042554777	0.03568361	0.035145654	0.023137573	0.064008135	0.012148772	0.015129778	0.046861151	0	0.011100286	0.008791752	0	0	0	0.009325312	0	0	0	0.026266598	0	0.011228311	0	0	0.003903037	0	0.00227514	0	0	0	0.002491202	0.001194203	0	0	0.000934279	0.006980977	0.003439718	0	0.017500911	0	0	0	0	0	0	0.001128254	0.001328718	0	0	0	0.00099981	0	0.000195335	0	0	0.006334571	5.16078E-05	0.000646616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000158697	0	0	0.00078134	0	0	0	0	0	0	0	0.003346866	0	0	0	0	0	0.00074041	0	0.000241185	0.000319906	0	0	0	4.92001E-06	0.000962648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010205576	0	0	0.017265274	0	0	0	0	0	0	0	0	0	0	0	0	0.001872327	0.000174399	0	0	0	0	0	0	0	0	0
CSM7KOQZ_P	0.359968723	0.066954486	0.040274995	0	0.110726551	3.3335E-05	0.010169763	0	0.011523661	0.046940753	0.040492087	0.012659018	0.073680392	0.001031729	0.020350189	0.027366896	0	0.007342707	0.00742004	0	0	4.48263E-05	0.013781227	0	1.90486E-05	0	0.008159414	0	0.008812552	0	0	0.004570104	0	0.00169377	0	0	0	0.001043013	0.000393601	0	0	0.004354048	0.008071211	0.01093036	0	0.060911948	0	0	0	0	0	0	0.000913814	9.07913E-05	0	0	0	0.000181686	0	0.00120182	0	0	0.002239242	0.000606034	0.003087525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000407888	0	3.66478E-05	0	0	0	0	0	0.006421439	0	0	0	0	0	0.000849835	0	0.000355918	0.00066877	2.51565E-05	0	0	0	0.001147883	0	0	0	0	0	0	0	4.25487E-05	0	0	0	0	0	0	0	0	0.015236994	0	0	0.006271017	0	0	0	0	0	0	0	0	0	0	0	0	0.000262643	0.000231896	0	0	0	0	0	0	0	0	0
CSM7KOR2	0.437918397	0.016151417	0.048434838	0	0.096812055	0.000145292	0.003927104	0	0.055238342	0.034362938	0.060715326	0.025025145	0.028769886	0.00062433	0.011766443	0.002534805	0	0.004148398	0.008861646	0	0	1.05329E-05	0.014378282	0	0	0	0.004778717	0.001029535	0.004267977	0	0	0.010765512	0	0.004816511	0	0	0.000443619	0.00347099	0.001171316	0	0	6.09254E-05	0.004898399	0.002427618	0	0.040808015	0	0	0	0	0	3.10823E-05	0.001163468	0.000519415	0	0	0	0.003104199	0	0.004567027	0	0	0.002875264	0.000288414	0.003058763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005431651	0.000413879	0	0	0.001226252	0	0.017373642	0	0	0	0	7.12517E-06	0.001591804	0	0	0	0	0	0.000886206	0	0.00049711	0.00285234	0.000134862	0	0	0.00018701	0.004114011	0	0	0	0	0.00435162	0	0	0	0	0	0	0	0	0	0	0	0.007339028	0	0	0.005006516	0	0	0.00061421	0	0	0	0	0	0	0	0	0	0.002087365	0.001513427	0	0	0	0	0	0	0	0	0
CSM7KOR4_P	0.346415957	0.04457385	0.060379302	0.000287613	0.140053818	8.9758E-05	0.004846829	0	0.015734033	0.046956767	0.040746554	0.024397664	0.053073146	2.4146E-05	0.014195616	0.011027699	0	0.016772515	0.010693119	0	0	8.85354E-05	0.009478687	0	0	0	0.015859042	0	0.010375349	0	0	0.004645204	0	0.004837354	0	0	0	0.002504156	0.000360764	0	0	0.000864366	0.009419697	0.010497811	0	0.060543434	0	0	0	0	0	0	0.001829799	0.000120017	0	0	0	0.000376046	0	0.002191582	0	0	0.003731527	0.000254195	0.002265854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000168818	5.29786E-06	0	0	0.00084725	0	0.000819131	0	0	0	0	0	0.000230763	0	0	0	0	0	0.001328235	0	0.000746591	0.000680877	6.15367E-05	0	0	0	0.000769005	0	0	0	0	0	0	0	2.80175E-05	0	0	0	0	0	0	0	0	0.010137047	0	0	0.012568561	0	0	5.07372E-05	0	0	0	0	0	0	0	0	0	0.000715109	0.000331218	0	0	0	0	0	0	0	0	0
CSM7KOR8_P	0.292291556	0.083248197	0.072074624	0	0.134617264	5.28397E-06	0.0086017	0	0.009788968	0.060507904	0.035891088	0.015768598	0.028578881	0.003295879	0.010063227	0.003795011	0	0.034675978	0.008737457	0	0	5.72092E-05	0.010162403	0	0	0	0.023503319	0	0.015247923	0	0	0.007989572	0	0.000939023	0	0	0	0.00134721	0.000709678	0	0	0.007475197	0.018132058	0.005672549	0	0.036714982	0	0	0	0	0	0	0.000211562	0	0	0	0	3.50571E-05	0	0.000883745	0	0	0.003711788	0.000708662	0.00037313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000178639	0.000256374	0	0	0.001171518	0.001677357	0.000242555	0	0	0	0	0	0.000237169	0	0	0	0	0	0.000577173	0	0.000340207	0.001174973	0.000238592	0	0	0.000119804	0.000669947	0	0	0	0	0	0	0	4.22718E-05	0	0	0	0	0	0	0	0	0.026910467	0	0	0.029803849	0	0	0	0	0	0	0	0	0	0	0	0	0.000432676	0.000109744	0	0	0	0	0	0	0	0	0
CSM7KORC	0.387859665	0.055312428	0.034302926	0	0.057685689	0	0.033419489	0.000108911	0.00568745	0	0	0.017715923	0.020531769	0.045905844	0.031543922	0.024728637	0.180244752	0	0	0	0	0	0	0	0	0.003141494	0	0.015872031	0.000107284	0	0	0.000262297	0	0.00116244	0	0.000589464	0	0.000334218	0.003123487	0.004621446	0.00457914	0.009294093	0	0	0	0	0.003305728	0	0.003364523	0	0	0	0.002727871	0	0.003172736	0.003171868	0	0.000150132	0.000386504	0.000381731	0	0	0.002924323	0	0.000217171	0.000749034	0	0.004336152	0	0.001743443	0	0	0	0	0	0.001573025	0	0	0	0	0.00037609	0.000757495	0.006158891	0	0.000133318	0.000375222	0.003218947	0	0	0.000237456	0	0	0	0.003765563	0	0	0	0	0	5.13096E-05	0.000980415	0.000132776	0.002601713	0.000387371	0.010768405	0	0	0	0	0	0	0	0.000232032	0	0	0	0	0	0	0	0	0	0	0	0	1.74648E-05	0	0	0	0	0.001099631	0	0	0.001780325	0	0	0.000298529	0	0	0	0.000242012	0	0	0	0	0	3.69907E-05	0	9.00359E-06	0	0
CSM7KORG	0.423811961	0.031761009	0.042481539	0	0.074384099	0	0.008566245	0.000577702	0.017803961	0	0	0.01015696	0.040115885	0.042375795	0.03349591	0.009890025	0.123635309	0	0	0.028411083	0	0	0	0	0	0.008822163	0	0.001859207	0.000644166	0	0	0.00353459	0	0.004032654	0	0.000158796	0.000219512	0.001633228	0.00307856	0.000340585	0.002887789	0.013631911	0	0	0	0	6.7662E-05	0	0.00093625	0	0	0	0.00086775	0	0.003925352	0.000325616	0	0.000309209	0.000243703	0.000293641	0	0.015139516	0.009766557	0	0.00076476	0.000626562	0	0.00311748	0	0.000690511	0	0	0	0	0	0.001328091	0	0	0	0	0.001244861	0.003966788	0.002668995	0	0	0.001123788	0.002757255	0	0	0	0	0	0	0.000345974	0	0	0	0	0	0.000232805	0.000281546	0	0.004920642	0	0.009319748	0	0.001123788	0	0	0	0	0	0.000776855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.76009E-05	0	0	0.001280907	0	0	0	0.000429085	0	0	0.000511237	0	0	0	0	0	0.002204822	0	0	0	0
CSM7KORI	0.370498346	0.013757222	0.056414936	0	0.123677192	0	0.024762317	0.000214472	0.001318488	0	0	0.024002407	0.08268021	0.003954844	0.093061651	0.004173972	0.160021909	0	0	0.001533167	0	0	0	0	8.38022E-06	0.022096165	0	0.000532817	0	0	0	0	0	0.000632655	0	0.000845058	0	0	0.000128497	0	0.000786293	5.42128E-05	0	0	0	0	0	0	0.000227404	0	0	0	0.000569234	0	0.007510232	0.000356832	0	0	0	0	0	0	0.000452325	0	0.00151651	0.000608446	0	0.000554026	0	0	0	0	0	0	0	9.43551E-05	0	0	0	0	0	0	2.48303E-05	0	0	0	0.000179502	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001121088	0	0.000184468	0	0.000556095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.48012E-05	9.0734E-05	0	0	0	0	0	0	0	0	0.000723906	0	0	0	0
CSM7KORK	0.365832684	0.0256969	0.070478907	0	0.031958881	0.000805409	0.034051656	0.000824057	0.067400233	0.000145381	0	0.037639682	0.04344008	0.015888333	0.027537244	0.014958031	0.104700347	2.72806E-05	0	0	0	0	0	0	0	0.01047792	2.53237E-06	0.005810297	0.000535942	0	0	0.00494296	0	0.002459624	0	0	0	0.000658762	0.001712689	0.003787047	0.001169726	0.011355502	0	1.73813E-05	0	0	0.002449379	0	0.006514297	0	0	0.000166791	0.007007073	0	0.001429639	0.000731165	0.001229121	0.001597006	0.000654388	0.000769381	0	0	0.003228429	0	3.40719E-05	0	0.000180949	0.003578242	0	0.003907565	0	0	0	0	0	0.001572143	0	0	0	0	0.001303481	0.002235164	0.001157754	0	0.00100328	0.001192862	0.001553725	0	0	0.000782963	0	0	0	0.052168476	0	0	0	1.05899E-05	0	0.001147395	0.000308144	0.000275568	0.004508658	0	0.00806031	0	0.000398043	0	0	0	0	0	5.81294E-05	0	0	0	0	0	0	0	0	0	0	0	0	0.00014895	0	0	0	0	0.001072344	0	0	0.000135137	0	0	0	0	0	0	0.002936631	0	0	0	0	0	0.000177266	0	0	0	0
CSM7KORM	0.355551384	0.088747707	0.076280181	0	0.049765118	0.001669293	0.056233925	0	0.002682293	0	0.025807458	0.023505752	0.000858312	0.011395685	0.018041017	0.000620795	0	0.01347816	0.015328604	0	0	0.004529832	0	0	0	0	0.033104672	0.087115634	0	0	0	0	0	0.011733567	0	0.001331196	0.000378651	0.014129183	0.001324419	0	0.001469856	0.003621822	0	0	0	0.047782899	0.007023445	0	0	0	0	0	0.000907903	7.53E-06	9.20811E-05	0	0	0.003989824	0	0.005075542	0	0	0.001012139	0.004426349	0	0.000150815	0	3.98014E-06	0	0.00080173	0	0	0	0	0	0.001863352	0	0	0	0	0	0	0.003507258	0	0	0.00257612	0.001627986	0	0	0	0	0	0	0.001427258	0	0	0	1.2801E-05	0	0.000173082	5.36781E-05	0.000787315	0	0	0	1.33389E-05	0.00032336	0.000426951	0	0	0	0	0.000165768	0	0	0	0	0	0	0	0	0	0	0	0.016296424	0.000687059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.94953E-05	0	0	0	0	0	0	0	0
CSM7KORO	0.414596499	0.120161893	0.039468097	0	0.067085964	0	0.043247168	0	0.004747622	0	0.020951485	0.009494818	0	0.005782728	0.004430531	0.021566149	0	0.003472858	0.043852446	0	0	0	0	0	0	0	0.012574965	0.044598405	0	0	0	0	0	0.000126922	0	0.001040652	0	0.000922796	7.87129E-05	0	0	0.01810449	0	0	0	0.050022553	0.001302922	0	0.000709056	0	0	0	0.008921217	0	0	0	0	0.00910904	0	0.002249183	0	0	0	0	0	0.000474944	0	0	0	0.002776708	0	0	0	0	0	0.005445372	0	0	0	0	0	0	0.012842674	0	0	0	0.00330722	0	0	0	0	0	0	0	0	0	0	0	0	0.000281361	0.004369737	0.00234976	0	0	0	0	0	0.005889385	0	0	0	0	0.000948394	0	0	0	0	0	0	0	0	0	0	0	0.007154551	0.005540724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KORS	0.404398418	0.072474992	0	0	0.071936032	1.07126E-05	0.090839246	0	0.015564098	0	0.060663122	0.061620914	1.19607E-05	0.00027988	0.042097512	0	0	0	0.02194144	0	0	0	0	0	0	0	0.017446816	0.020834607	0	0	0	0	0	0.011596473	0	0.000146961	0	0.007158324	0.000567561	0	0	0	0	0	0	0.055156727	0.00317125	0	0	0	0	0	0.000195843	0	0	0	0	0.002301135	0	0.000411032	0	0	0	0.00070745	0	0.001539082	0	0	0	0.001064607	0	0	0	0	0	0	0	0	0	0	0	0	1.78891E-05	0	0.000172858	0.002084178	0	0	0	0	0	0	0	0.002751586	0	0	0	0	0	0.00027728	0	0	0	0	0.018687921	0	0	0.009395288	0	0	0	0	0.002369883	0	0	0	0	0	0	0	0	0	0	0	0	0.000106918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KORU	0.409656822	0.115452454	0.002586299	0	0.064424874	0.00017442	0.072175504	0.000108388	0.004967559	7.34831E-05	0.035771877	0.049416054	0.001322594	0.000621136	0.07028709	0	0	0	0.01393413	0	0	0	0	0	0	0	0.008947996	0.038425331	0	0	0	0	0	0.017715549	0	0.000347106	0	0.010177	0.00118716	0	0	0.000226573	0	0	0	0.058667066	0.000520199	0	0	0	0	0.000290666	6.37874E-05	0	0	0	0	0.002461071	0	0	0.000153906	0	0	0.000320876	0	0.000205344	0	0	0	0.000251475	0	0	0	0	0	0.000526221	0	0	0	0	0	0	0.000809947	0	0.000144006	0.001536001	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000180238	0	6.6543E-05	0	0	0.010227214	0	0	0.004057696	0	0	0	0	0.001518344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KOS7	0	0.022248833	0	0	0	0	0.000928666	0.094594701	0.032703068	0.211676717	0	0	0	0.006082934	0	0.001455463	0	0	0	0.18903584	1.16504E-05	0	0	0.011538709	0	0	0.008232791	0	0	0	0	0	0	0.017537422	0	0	0.000121277	0.023773917	0	0.058320282	0	0.004950455	0	0	0.012416282	0	0.000177704	0	5.86733E-05	0	0	0	0.002376409	0.000124225	0	0	0	0.003025325	0.009279085	0.001496731	0	0	0.001977346	0	0	0	0	0.000677691	0	0.002356337	0	0	0	0	0	0.004245533	0	0	0	0	0.009589997	0	0	0	0	0.006189893	0.003623708	0.000190478	0	0.00052427	0	0	0.01741783	0	0	0	0	1.58614E-05	0	0	0	0.002716518	0	0.000649898	0.021128425	0	0.001234105	0	0.035760256	0.164512224	0	0	0	0	0	0	0	0	0	0.000519497	0	0	0	0	0	0	0.00907443	0	0	0	0	0	0.005428544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KOSH	1.19686E-05	0.132113417	3.23154E-06	0	0	0	0.019475266	0.281679876	0.003392633	0.273838137	0	0	0	0.017921137	0	0.006263912	0	0	0	0.039096549	0	0	0	0.00772696	0	0	0.004640844	0	0	0	0	0	0	0.010923905	0	0	0	0.00978066	0	0.002514733	0	0.00266853	0	0	0.022051996	0	0.000863897	0	0.002500849	0	0	0	0.008590019	8.25837E-06	0	0.000655523	0	0.000190182	0.037582275	0.000578325	0	0	0.022662158	0	0	0	0	0.001205961	0	3.73422E-05	0	0	0	0	0	0.010903319	0	0	0	0	0.017093505	0	0.000955936	0	0.000167561	0.00117209	0.015128851	0	0	0.000982746	0	0	6.70244E-06	0	0	0	0	0	0	0	0	0.000585865	0	0.000332369	0.004769626	0	5.92448E-05	0.002913049	4.89518E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035258443	0	0	0	0.000643195	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM7KOSJ	0	0	0	0	0	0	0.192997831	0.57824807	0.032129707	0	0	0	0	0.010760022	0	0	0	0	0	0.001199735	0.021147594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003466387	0	0	0	0	0	0	0	0	0	0.014853111	0	0	0	0	0	0	0.02767889	0	0	0	0.049617014	0	0.010020133	0	0	0	0	0	0	0	0	0	0.006013918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.013416667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009488032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028962888	0	0	0	0	0	0	0	0
CSM7KOSL	0	0	0	0	0	0	0.193806487	0.69756258	0	0	0	0	0	0.001251187	0	0	0	0	0	0	0.013617407	0	0	0	0	0	0	0	0	0	0	0	0	9.22812E-05	0	0	0.015944058	0	0	0	0	0	0	0	0	0	0.004786872	0	0	0	0	0	0	0.005640904	0	0	0	0.000911708	0	0.004260244	0	0	0	0	0	0	0	0	0	0.001268435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001127965	0	0.014481681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044853517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000394675	0	0	0	0	0	0	0	0
CSM7KOSP	5.12179E-05	0	1.10713E-05	0	1.53136E-05	0	0.229184278	0.652225432	0.010049569	0	0	0	0.000238292	0.021156191	0	0.016836093	0	0	0	0.009515971	0.018144166	0	0	0.000541564	0	0	0	0	0	0	0	0	0.000106161	0.000291787	0	0.005227845	0.003196099	0	0	0	0	0	0	0	0	0	0.001898166	0.000675248	0	0	0	3.10411E-05	0	0.001129484	0	0	0	0.002390271	0	0.003458086	0	0	0	0	0	0	0	0.000455477	0	0.001562094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000402293	0	0.00638568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014291547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76266E-05	0	0	0	0	0.000501935	0	0	0	0	0	0	0	0
CSM7KOST	0	0	0	0	0	0	0.184523866	0.635755427	0.054679407	0	0	0	1.30141E-05	0.025048206	0	0.002370173	0	0	0	0.010610013	0.009066717	0	0	0.000264691	0	0	0	0	0	0	0	0	0	0.0008272	0	0	0.0053818	0	0	0	0	0	0	0	0	0	0.004492757	0	0	0	0	0	0	0.010455888	0	0	0	0.013014497	0	0.002729512	0	0	0	0	0	0	0	0.000180584	0	0.004556321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001155778	0	0.00672397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022956706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005193473	0	0	0	0	0	0	0	0
CSM7KOSV	0	0.015573074	0.141101758	0	0.098361485	0.115008638	0.00362439	0.004542774	0	0.038426975	0.019551663	0.005975956	0.013872388	0.000561673	0.0116184	0.002337934	0	0.121067105	0.014784674	9.06426E-05	0	0	0.015814508	0	0	0	0.000389715	0.003106124	0.006501277	0.031124264	0.003077425	0	0	0	0	0	0	0.001068339	6.31389E-05	0	0	0.032500406	0.00678026	0.017075493	0	0	0	0	0.000147444	0	0	0.065152799	0.000385889	0	0.001912105	0.000692256	0.077773769	0.000141465	0	0.000223856	0.030253353	0	0.001825409	0	0	0	0	0.000178894	0	0.000301943	0	0	0	0	0	0.002818771	0	0	0	0	0.000647054	0	0	0	0	2.54708E-05	0.000536203	0	0.00424119	0	0	0	0	0	0.001418115	0	0.00206194	0	0	0	0	0.000103557	0.000150792	0	0	0	0	0	0.009118912	0	0	0	0	0.016454388	0	0	0	0	0.003879935	0	0.001751268	0	0	0	0	0.000216442	0	0	0	0	0	0	0.015396452	0.002510012	0	0.035485514	0	0	0	0	0	0	0	0	0	0	0.00019432	0	0	0	0
CSM7KOSX	0.000104669	0.027184917	0.063529353	0	0.036337081	0.196246686	0.000301135	0.010497583	0	0.035664937	0.038877989	0.007134175	0.010357412	0.000315138	0.009425859	0.000459694	0	0.041062882	0.018282686	0.002396776	0	0	0.016119576	0	0	0	0.002286308	0.005547169	0.005287052	0.030076749	0.002321952	0	0	0	0	0	0	0.001923645	2.89961E-05	0.001685311	0	0.097528923	0.007278873	0.011122909	0	0	0.000253468	0	7.55313E-05	0	0	0.000348661	0.000297033	0	1.66904E-05	0.000521647	0.189935859	0.000141162	0	0.000332112	0.001673005	0	0.007525128	0	0	0	0	0.000749373	0	0.000769316	0	0	0	0	0	0.007320599	0	0	0	0	0.000489964	0.000617122	0	0	0	0.000231403	0.003547993	0	0.020719633	0	0	0	0	0	0.004479404	0	0.005530195	0	0	0.000269735	0	0.00109082	0.000618254	0	0	0	0.000400146	6.63374E-05	0.007016918	0	0	0	0	0.001817703	0	0	0	0	0.003665392	0	0.004127632	0	0	0	0	0	0	0	0	0	0	1.58418E-05	0.023223624	0.003279531	0	0.028996538	3.38052E-05	0	0	0	0	0.000401561	0	0	0	0	0	0	0	1.44273E-05	0
CSM7KOTA	0.034315881	0	0.00925286	0	0	0	0.000284266	0	0.000368411	0	0.000749977	0.013193426	0.008324953	0	0.011501284	0	0.027107609	0.002180646	4.53862E-05	0	0.000895373	0	0	0	0	0.042103731	0	0	0	0	0.000356462	0.001741846	0.256303385	0.000356563	0	0	0.000180541	0	0	0	0	0	0.0019501	0.000292902	0	0.007466431	0	0.557341092	0	0	0	0	0	0.000191686	0	0	0	9.86045E-05	0	0	0	0	0	0	0.017028258	0	0	0	0	2.12873E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002144397	0	0	0	0.000140476	0	0	0	0	0	0	0	0	0	0	3.43409E-05	0	0.000937145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013162	0	0	0	0	0	0	0	0	0	0	0.00177448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
